hour,day_of_week,crime_count,city
13,Wednesday,6604,Seattle
14,Friday,7118,Seattle
14,Monday,6633,Seattle
14,Saturday,6415,Seattle
14,Sunday,5797,Seattle
14,Thursday,6623,Seattle
14,Tuesday,6724,Seattle
14,Wednesday,6595,Seattle
15,Friday,8072,Seattle
15,Monday,7273,Seattle
15,Saturday,7069,Seattle
15,Sunday,6313,Seattle
15,Thursday,7528,Seattle
15,Tuesday,7370,Seattle
15,Wednesday,7351,Seattle
16,Friday,8281,Seattle
16,Monday,7551,Seattle
16,Saturday,6926,Seattle
16,Sunday,6424,Seattle
16,Thursday,7516,Seattle
16,Tuesday,7589,Seattle
16,Wednesday,7484,Seattle
17,Friday,9797,Seattle
17,Monday,8148,Seattle
17,Saturday,7566,Seattle
17,Sunday,6949,Seattle
17,Thursday,8560,Seattle
17,Tuesday,8326,Seattle
17,Wednesday,8474,Seattle
18,Friday,9582,Seattle
18,Monday,8109,Seattle
18,Saturday,7773,Seattle
18,Sunday,6826,Seattle
18,Thursday,8567,Seattle
18,Tuesday,8563,Seattle
18,Wednesday,8629,Seattle
19,Friday,8224,Seattle
19,Monday,7153,Seattle
19,Saturday,7214,Seattle
19,Sunday,6281,Seattle
19,Thursday,7558,Seattle
19,Tuesday,7488,Seattle
19,Wednesday,7528,Seattle
20,Friday,8361,Seattle
20,Monday,7375,Seattle
20,Saturday,7823,Seattle
20,Sunday,7022,Seattle
20,Thursday,7742,Seattle
20,Tuesday,7601,Seattle
20,Wednesday,7761,Seattle
21,Friday,7729,Seattle
21,Monday,6850,Seattle
21,Saturday,7590,Seattle
21,Sunday,6654,Seattle
21,Thursday,7074,Seattle
21,Tuesday,7000,Seattle
21,Wednesday,7013,Seattle
22,Friday,8195,Seattle
22,Monday,6433,Seattle
22,Saturday,8080,Seattle
22,Sunday,6664,Seattle
22,Thursday,7047,Seattle
22,Tuesday,6784,Seattle
22,Wednesday,6710,Seattle
23,Friday,7744,Seattle
23,Monday,5181,Seattle
23,Saturday,7963,Seattle
23,Sunday,5583,Seattle
23,Thursday,5788,Seattle
23,Tuesday,5462,Seattle
23,Wednesday,5578,Seattle
